scope,budget,label,reference,cell,error_ratio,error_ratio_ci90,routed_gain,routed_gain_retention,routed_gain_retention_ci90,band,band_delta,band_delta_ci90,mean_bits,evict_frac,tier0_frac,tier1_frac,tier2_frac,tier3_frac,tier4_frac,tier5_frac,tier6_frac,tier8_frac,median_cell_error_ratio,worst_cell_error_ratio,worst_cell_band_delta,pass
cell,2,nested3,full,llama31-8b@131072,1.0583156689929853,"(1.0530218077546158, 1.0635002281485733)",2.0239580344266455,0.9837080080197602,"(0.9830766791349307, 0.9842915745701483)",0.4673936631944445,-0.006510416666666667,"(-0.006998697916666667, -0.005913628472222219)",1.9999942113581726,0.6551126083550258,0.6551126083550258,,,0.024195171496098573,0.10203829864759477,,0.11498793486537444,0.10366598663590638,,,,
cell,2,nested3,full,llama31-8b@32768,1.069829983091321,"(1.0605924537646476, 1.0799493138861553)",2.2537766516147526,0.9820622885215056,"(0.9810531643337783, 0.9832195109919588)",0.5906575520833334,-0.008083767361111105,"(-0.00889756944444442, -0.00721571180555558)",1.9999774024302985,0.6256299117519218,0.6256299117519218,,,0.04820205505075899,0.1274756173589854,,0.12203527943229495,0.07665713640603877,,,,
cell,2,nested3,full,qwen3-30b-a3b-2507@8192,1.0101359343827079,"(1.0081330018004286, 1.011591940002991)",1.677098091503781,0.9853944382733799,"(0.9848317970827145, 0.9859754601044262)",0.3147786458333333,-0.011881510416666671,"(-0.012966579861111133, -0.010850694444444434)",1.999886819075984,0.6365204392109278,0.6365204392109278,,,0.040962991561414155,0.10678993620502639,,0.13798748230470834,0.07773915071792326,,,,
cell,2,nested3,full,qwen3-8b@8192,1.013335666835463,"(1.0120182159206412, 1.0142859547998888)",2.034433543944548,0.9872941206963739,"(0.9865237850453304, 0.9880432381276505)",0.4659529320987654,-0.009596836419753082,"(-0.010802469135802462, -0.008342978395061726)",1.9999047821280267,0.6444068526635062,0.6444068526635062,,,0.03338960609982694,0.10757454213711291,,0.12379709875816898,0.09083190034138505,,,,
macro,2,nested3,full,macro,1.0375661276140975,"(1.0349463001555115, 1.0403458111310973)",,0.9846127940107562,"(0.9842290703871882, 0.9850109286891229)",,-0.009018132716049381,"(-0.0094898365162037, -0.00853437258873457)",,,,,,,,,,,1.0358256679142241,1.069829983091321,-0.011881510416666671,
cell,2,nested4,full,llama31-8b@131072,1.2149155390947666,"(1.206958245296893, 1.2230569372518254)",1.9407757536974108,0.9432787726863923,"(0.9407461240821381, 0.9460425881377369)",0.44574652777777773,-0.028157552083333343,"(-0.03266059027777778, -0.02376030815972228)",1.999994645011477,0.6607036842148297,0.6607036842148297,,,,0.12129275008257047,,0.11460244046980178,0.10340112523279806,,,,
cell,2,nested4,full,llama31-8b@32768,1.3410866521269644,"(1.3224605325050092, 1.3604646449705229)",2.0754485704822376,0.9043574798665873,"(0.8975620204612412, 0.9123565560336214)",0.552517361111111,-0.046223958333333336,"(-0.049207899305555546, -0.043185763888888916)",1.9999781866184863,0.6368616880817669,0.6368616880817669,,,,0.16563537286723834,,0.12129340862921258,0.07620953042178216,,,,
cell,2,nested4,full,qwen3-30b-a3b-2507@8192,1.030906722870142,"(1.0282878856243316, 1.033115674464745)",1.629036800079297,0.9571555836077846,"(0.9540612286118404, 0.9602599746816596)",0.2855902777777778,-0.041069878472222224,"(-0.04541015625000003, -0.036892361111111105)",1.9998887724523375,0.6459977042082621,0.6459977042082621,,,,0.13940442704024414,,0.13725594286029452,0.07734192589119923,,,,
cell,2,nested4,full,qwen3-8b@8192,1.0603192993914126,"(1.0573272377649325, 1.0630221277374436)",1.9795439212549395,0.9606566313913067,"(0.9583760437960196, 0.9627988547904222)",0.4456500771604938,-0.029899691358024682,"(-0.03274498456790124, -0.02768132716049383)",1.9999090463770532,0.6521323951781199,0.6521323951781199,,,,0.1341031502944017,,0.12330959551019008,0.09045485901728824,,,,
macro,2,nested4,full,macro,1.155220112040445,"(1.150772549356057, 1.1597418380132078)",,0.9410934041997434,"(0.9389779278021172, 0.9434507598254551)",,-0.0363377700617284,"(-0.03808902693383488, -0.034572874469521606)",,,,,,,,,,,1.1376174192430897,1.3410866521269644,-0.046223958333333336,
